alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.5226315789473684,3,0.0,uinnsm_product,agrapa,predictable_kelly,400,400.0,-0.9483029842376709,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,agrapa,predictable_kelly,120,234.0,-3.1897921562194824,[0.55 0.45]
0.5226315789473684,100,0.0,uinnsm_product,agrapa,predictable_kelly,120,234.0,-31.92896580696106,[0.505 0.495]
0.5226315789473684,500,0.0,uinnsm_product,agrapa,predictable_kelly,120,234.0,-159.43106365203857,[0.501 0.499]
0.5226315789473684,1,0.0,uinnsm_product,agrapa,greedy_kelly,400,400.0,-0.7275469303131104,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,agrapa,greedy_kelly,400,400.0,-1.5807521343231201,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,agrapa,greedy_kelly,190,190.0,-4.581490755081177,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,agrapa,greedy_kelly,136,136.0,-43.14383029937744,[0.495 0.505]
0.5226315789473684,500,0.0,uinnsm_product,agrapa,greedy_kelly,122,122.0,-214.61782431602478,[0.487 0.513]
0.5226315789473684,1,0.0,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.05303025245666504,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,smooth_predictable,round_robin,324,324.0,-0.15340852737426758,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,smooth_predictable,round_robin,142,142.0,-0.5073225498199463,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,smooth_predictable,round_robin,136,136.0,-5.084437608718872,[0.495 0.505]
0.5226315789473684,500,0.0,uinnsm_product,smooth_predictable,round_robin,136,136.0,-25.357442617416382,[0.499 0.501]
0.5226315789473684,1,0.0,uinnsm_product,smooth_predictable,predictable_kelly,400,400.0,-0.31835103034973145,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,smooth_predictable,predictable_kelly,324,400.0,-0.9467833042144775,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,smooth_predictable,predictable_kelly,134,262.0,-3.1568751335144043,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,smooth_predictable,predictable_kelly,135,264.0,-31.72248363494873,[0.495 0.505]
0.5226315789473684,500,0.0,uinnsm_product,smooth_predictable,predictable_kelly,135,264.0,-158.20910835266113,[0.499 0.501]
0.5226315789473684,1,0.0,uinnsm_product,smooth_predictable,greedy_kelly,400,400.0,-0.7374105453491211,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,smooth_predictable,greedy_kelly,324,324.0,-1.5893120765686035,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,smooth_predictable,greedy_kelly,142,142.0,-4.589243412017822,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,smooth_predictable,greedy_kelly,136,136.0,-43.31728267669678,[0.495 0.505]
0.5226315789473684,500,0.0,uinnsm_product,smooth_predictable,greedy_kelly,136,136.0,-215.36424136161804,[0.499 0.501]
0.5226315789473684,1,0.0,lcb,fixed_predictable,round_robin,297,297,-0.8870043754577637,
0.5226315789473684,3,0.0,lcb,fixed_predictable,round_robin,297,297,-0.884490966796875,
0.5226315789473684,10,0.0,lcb,fixed_predictable,round_robin,297,297,-0.8862543106079102,
0.5226315789473684,100,0.0,lcb,fixed_predictable,round_robin,297,297,-0.8844547271728516,
0.5226315789473684,500,0.0,lcb,fixed_predictable,round_robin,297,297,-0.8844523429870605,
0.5226315789473684,1,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8844523429870605,
0.5226315789473684,3,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8844523429870605,
0.5226315789473684,10,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8844523429870605,
0.5226315789473684,100,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8844523429870605,
0.5226315789473684,500,0.0,lcb,fixed_predictable,predictable_kelly,,,-0.8844523429870605,
0.5226315789473684,1,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8844523429870605,
0.5226315789473684,3,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8844523429870605,
0.5226315789473684,10,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8844523429870605,
0.5226315789473684,100,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8844523429870605,
0.5226315789473684,500,0.0,lcb,fixed_predictable,greedy_kelly,,,-0.8844523429870605,
0.5226315789473684,1,0.0,lcb,agrapa,round_robin,189,189,-1.8302791118621826,
0.5226315789473684,3,0.0,lcb,agrapa,round_robin,189,189,-1.8369488716125488,
0.5226315789473684,10,0.0,lcb,agrapa,round_robin,189,189,-1.8282244205474854,
0.5226315789473684,100,0.0,lcb,agrapa,round_robin,189,189,-1.8439688682556152,
0.5226315789473684,500,0.0,lcb,agrapa,round_robin,189,189,-1.8189222812652588,
0.5226315789473684,1,0.0,lcb,agrapa,predictable_kelly,,,-1.8189222812652588,
0.5226315789473684,3,0.0,lcb,agrapa,predictable_kelly,,,-1.8189222812652588,
0.5226315789473684,10,0.0,lcb,agrapa,predictable_kelly,,,-1.8189222812652588,
0.5226315789473684,100,0.0,lcb,agrapa,predictable_kelly,,,-1.8189222812652588,
0.5226315789473684,500,0.0,lcb,agrapa,predictable_kelly,,,-1.8189222812652588,
0.5226315789473684,1,0.0,lcb,agrapa,greedy_kelly,,,-1.8189222812652588,
0.5226315789473684,3,0.0,lcb,agrapa,greedy_kelly,,,-1.8189222812652588,
0.5226315789473684,10,0.0,lcb,agrapa,greedy_kelly,,,-1.8189222812652588,
0.5226315789473684,100,0.0,lcb,agrapa,greedy_kelly,,,-1.8189222812652588,
0.5226315789473684,500,0.0,lcb,agrapa,greedy_kelly,,,-1.8189222812652588,
0.5226315789473684,1,0.0,lcb,smooth_predictable,round_robin,267,267,-0.6431269645690918,
0.5226315789473684,3,0.0,lcb,smooth_predictable,round_robin,267,267,-0.6400613784790039,
0.5226315789473684,10,0.0,lcb,smooth_predictable,round_robin,267,267,-0.6590955257415771,
0.5226315789473684,100,0.0,lcb,smooth_predictable,round_robin,267,267,-0.6515481472015381,
0.5226315789473684,500,0.0,lcb,smooth_predictable,round_robin,267,267,-0.6441044807434082,
0.5226315789473684,1,0.0,lcb,smooth_predictable,predictable_kelly,,,-0.6441044807434082,
0.5226315789473684,3,0.0,lcb,smooth_predictable,predictable_kelly,,,-0.6441044807434082,
0.5226315789473684,10,0.0,lcb,smooth_predictable,predictable_kelly,,,-0.6441044807434082,
