alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,1,0.5,lcb,agrapa,greedy_kelly,,,-18.085423946380615,
0.51,3,0.5,lcb,agrapa,greedy_kelly,,,-18.085423946380615,
0.51,10,0.5,lcb,agrapa,greedy_kelly,,,-18.085423946380615,
0.51,100,0.5,lcb,agrapa,greedy_kelly,,,-18.085423946380615,
0.51,500,0.5,lcb,agrapa,greedy_kelly,,,-18.085423946380615,
0.51,1,0.5,lcb,smooth_predictable,round_robin,400,400,-18.136949062347412,
0.51,3,0.5,lcb,smooth_predictable,round_robin,400,400,-18.029349088668823,
0.51,10,0.5,lcb,smooth_predictable,round_robin,400,400,-17.999661207199097,
0.51,100,0.5,lcb,smooth_predictable,round_robin,400,400,-18.074300527572632,
0.51,500,0.5,lcb,smooth_predictable,round_robin,400,400,-18.094944953918457,
0.51,1,0.5,lcb,smooth_predictable,predictable_kelly,,,-18.094944953918457,
0.51,3,0.5,lcb,smooth_predictable,predictable_kelly,,,-18.094944953918457,
0.51,10,0.5,lcb,smooth_predictable,predictable_kelly,,,-18.094944953918457,
0.51,100,0.5,lcb,smooth_predictable,predictable_kelly,,,-18.094944953918457,
0.51,500,0.5,lcb,smooth_predictable,predictable_kelly,,,-18.094944953918457,
0.51,1,0.5,lcb,smooth_predictable,greedy_kelly,,,-18.094944953918457,
0.51,3,0.5,lcb,smooth_predictable,greedy_kelly,,,-18.094944953918457,
0.51,10,0.5,lcb,smooth_predictable,greedy_kelly,,,-18.094944953918457,
0.51,100,0.5,lcb,smooth_predictable,greedy_kelly,,,-18.094944953918457,
0.51,500,0.5,lcb,smooth_predictable,greedy_kelly,,,-18.094944953918457,
0.51,1,0.5,lcb,inverse,round_robin,400,400,-18.068137884140015,
0.51,3,0.5,lcb,inverse,round_robin,400,400,-17.990938663482666,
0.51,10,0.5,lcb,inverse,round_robin,400,400,-18.105262994766235,
0.51,100,0.5,lcb,inverse,round_robin,400,400,-18.058512926101685,
0.51,500,0.5,lcb,inverse,round_robin,400,400,-18.07996153831482,
0.51,1,0.5,lcb,inverse,predictable_kelly,,,-18.07996153831482,
0.51,3,0.5,lcb,inverse,predictable_kelly,,,-18.07996153831482,
0.51,10,0.5,lcb,inverse,predictable_kelly,,,-18.07996153831482,
0.51,100,0.5,lcb,inverse,predictable_kelly,,,-18.07996153831482,
0.51,500,0.5,lcb,inverse,predictable_kelly,,,-18.07996153831482,
0.51,1,0.5,lcb,inverse,greedy_kelly,,,-18.07996153831482,
0.51,3,0.5,lcb,inverse,greedy_kelly,,,-18.07996153831482,
0.51,10,0.5,lcb,inverse,greedy_kelly,,,-18.07996153831482,
0.51,100,0.5,lcb,inverse,greedy_kelly,,,-18.07996153831482,
0.51,500,0.5,lcb,inverse,greedy_kelly,,,-18.07996153831482,
0.5226315789473684,1,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.07535719871520996,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.2202761173248291,[0.83333333 0.16666667]
0.5226315789473684,10,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.7339708805084229,[0.75 0.25]
0.5226315789473684,100,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-7.352428436279297,[0.725 0.275]
0.5226315789473684,500,0.0,uinnsm_product,fixed_predictable,round_robin,400,400.0,-36.87162256240845,[0.725 0.275]
0.5226315789473684,1,0.0,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-0.35339784622192383,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,fixed_predictable,predictable_kelly,326,400.0,-1.0543103218078613,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,fixed_predictable,predictable_kelly,149,292.0,-3.5144529342651367,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,fixed_predictable,predictable_kelly,149,292.0,-35.43237113952637,[0.495 0.505]
0.5226315789473684,500,0.0,uinnsm_product,fixed_predictable,predictable_kelly,149,292.0,-177.6906807422638,[0.499 0.501]
0.5226315789473684,1,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-0.7890758514404297,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-1.7264282703399658,[0.16666667 0.83333333]
0.5226315789473684,10,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-5.08197546005249,[0.05 0.95]
0.5226315789473684,100,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-47.74607729911804,[0.005 0.995]
0.5226315789473684,500,0.0,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-238.12073755264282,[0.001 0.999]
0.5226315789473684,1,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.08428120613098145,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,agrapa,round_robin,400,400.0,-0.2412092685699463,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,agrapa,round_robin,154,154.0,-0.7711763381958008,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,agrapa,round_robin,82,82.0,-7.719071865081787,[0.475 0.525]
0.5226315789473684,500,0.0,uinnsm_product,agrapa,round_robin,79,79.0,-38.676926374435425,[0.503 0.497]
0.5226315789473684,1,0.0,uinnsm_product,agrapa,predictable_kelly,400,400.0,-0.37004613876342773,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,agrapa,predictable_kelly,400,400.0,-1.0842440128326416,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,agrapa,predictable_kelly,80,154.0,-3.6290457248687744,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,agrapa,predictable_kelly,79,152.0,-36.45776128768921,[0.495 0.505]
0.5226315789473684,500,0.0,uinnsm_product,agrapa,predictable_kelly,79,152.0,-182.03562569618225,[0.499 0.501]
0.5226315789473684,1,0.0,uinnsm_product,agrapa,greedy_kelly,400,400.0,-0.8139820098876953,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,agrapa,greedy_kelly,400,400.0,-1.7725789546966553,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,agrapa,greedy_kelly,154,154.0,-5.170664548873901,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,agrapa,greedy_kelly,82,82.0,-48.14651656150818,[0.475 0.525]
0.5226315789473684,500,0.0,uinnsm_product,agrapa,greedy_kelly,79,79.0,-237.98636484146118,[0.503 0.497]
0.5226315789473684,1,0.0,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.07578253746032715,[0.5 0.5]
0.5226315789473684,3,0.0,uinnsm_product,smooth_predictable,round_robin,338,338.0,-0.21916770935058594,[0.5 0.5]
0.5226315789473684,10,0.0,uinnsm_product,smooth_predictable,round_robin,158,158.0,-0.729677677154541,[0.45 0.55]
0.5226315789473684,100,0.0,uinnsm_product,smooth_predictable,round_robin,145,145.0,-7.361297369003296,[0.505 0.495]
